PortfolioManager,SecurityType,Elbow,Currency,Net Amount,Quantity
S598958A,CB,2,USD,200201.51,8099.00
S598958A,CB,2,USD,140924.90,2478.00
S598958A,CB,2,USD,518724.99,11197.00
S598958A,CB,2,USD,236794.72,1856.00
S598958A,CB,2,USD,44573.81,1061.00
S598958A,CB,2,USD,343740.26,4486.00
S598958A,CB,2,USD,592649.15,8496.00
S598958A,CB,2,USD,388183.30,8649.00
S598958A,CB,2,USD,428243.88,3044.00
S598958A,CB,2,USD,348490.13,4670.00
S598958A,CB,2,USD,412359.58,6652.00
S598958A,CB,2,USD,252294.11,8433.00
S598958A,CB,2,USD,583261.37,4787.00
S598958A,CB,2,USD,250451.90,2448.00
S598958A,CB,2,USD,131935.44,1282.00
S598958A,CB,2,USD,259277.68,3053.00
S598958A,CB,2,USD,229878.88,3087.00
S598958A,CB,2,USD,180462.12,7857.00
S598958A,CB,2,USD,61144.61,2005.00
S598958A,CB,2,USD,887029.88,6489.00
S598958A,CB,2,USD,105533.41,2301.00
S598958A,CB,2,USD,68567.86,2557.00
S598958A,CB,2,USD,113995.31,1031.00
S598958A,CB,2,USD,212542.66,2059.00
S598958A,CB,2,USD,250701.71,10991.00
S598958A,CB,2,USD,223922.73,2736.00
S598958A,CB,2,USD,126564.98,1928.00
S598958A,CB,2,USD,200302.77,1525.00
S598958A,CB,2,USD,123141.89,9750.00
S598958A,CB,2,USD,659818.55,12528.00
S598958A,CB,2,USD,47047.43,2781.00
S598958A,CB,2,USD,300542.01,9234.00
S598958A,CB,2,USD,697849.56,8776.00
S598958A,CB,2,USD,189236.98,1136.00
S598958A,CB,2,USD,2462.61,989.00
S598958A,CB,2,USD,86623.18,7942.00
S598958A,CB,2,USD,196217.82,11654.00
S598958A,CB,2,USD,337964.36,1777.00
S598958A,CB,2,USD,396802.53,1246.00
S598958A,CB,2,USD,179912.60,2042.00
S598958A,CB,2,USD,106091.77,5886.00
S598958A,CB,2,USD,51144.49,2028.00
S598958A,CB,2,USD,17165.50,17341.00
S598958A,CB,2,USD,83690.54,8005.00
S598958A,CB,2,USD,671403.66,17068.00
S598958A,CB,2,USD,4.98,2.00
S598958A,CB,2,USD,12020.21,9456.00
S598958A,CB,2,USD,338700.17,6621.00
S598958A,CB,2,USD,343912.63,3083.00
S598958A,CB,2,USD,229132.10,1379.00
S598958A,CB,2,USD,347131.18,2195.00
S598958A,CB,2,USD,260547.92,3325.00
S598958A,CB,2,USD,186834.52,9203.00
S598958A,CB,2,USD,42165.52,8638.00
S598958A,CB,2,USD,113877.34,4016.00
S598958A,CB,2,USD,92354.89,6681.00
S598958A,CB,2,USD,181612.09,8941.00
S598958A,CB,2,USD,330681.75,7733.00
S598958A,CB,2,USD,136141.31,2560.00
S598958A,CB,2,USD,813968.87,10201.00
S598958A,CB,2,USD,193155.15,5626.00
S598958A,CB,2,USD,95968.82,1556.00
S598958A,CB,2,USD,222555.88,2916.00
S598958A,CB,2,USD,263504.18,1369.00
S598958A,CB,2,USD,349960.45,4099.00
S598958A,CB,2,USD,338161.73,12627.00
S598958A,CB,2,USD,1109087.28,24439.00
S598958A,CB,2,USD,260441.09,2380.00
S598958A,CB,2,USD,100643.19,3749.00
S598958A,CB,2,USD,256335.88,2943.00
S598958A,CB,2,USD,169023.90,559.00
S598958A,CB,2,USD,67623.43,704.00
S598958A,CB,2,USD,155081.78,5146.00
S598958A,CB,2,USD,165533.44,22794.00
S598958A,CB,2,USD,660659.22,7881.00
S598958A,CB,2,USD,142946.79,3813.00
S598958A,CB,2,USD,58132.84,1193.00
S598958A,CB,2,USD,26844.59,684.00
S598958A,CB,2,USD,253573.20,3576.00
S598958A,CB,2,USD,478378.78,3156.00
S598958A,CB,2,USD,534481.80,14946.00
S598958A,CB,2,USD,186836.11,39025.00
S598958A,CB,2,USD,235106.69,4941.00
S598958A,CB,2,USD,572163.59,19336.00
S598958A,CB,2,USD,43439.47,11856.00
S598958A,CB,2,USD,304950.85,3563.00
S598958A,CB,2,USD,835620.33,12232.00
S598958A,CB,2,USD,306471.77,2124.00
S598958A,CB,2,USD,101089.20,3732.00
S598958A,CB,2,USD,92.13,37.00
S598958A,CB,2,USD,275891.90,4769.00
S598958A,CB,2,USD,150248.76,3073.00
S598958A,CB,2,USD,66611.87,2880.00
S598958A,CB,2,USD,206143.38,5719.00
S598958A,CB,2,USD,274204.90,2977.00
S598958A,CB,2,USD,115642.67,4555.00
S598958A,CB,2,USD,96750.33,28902.00
S598958A,CB,2,USD,190503.93,8660.00
S598958A,CB,2,USD,49184.95,2830.00
S598958A,CB,2,USD,255785.99,15832.00
S598958A,CB,2,USD,74827.03,3014.00
S598958A,CB,2,USD,440799.43,7136.00
S598958A,CB,2,USD,431939.78,5656.00
S598958A,CB,2,USD,262148.56,5602.00
S598958A,CB,2,USD,306724.60,3721.00
S598958A,CB,2,USD,207239.16,11934.00
S598958A,CB,2,USD,151036.62,21679.00
S598958A,CB,2,USD,163806.69,6153.00
S598958A,CB,2,USD,264342.89,12976.00
S598958A,CB,2,USD,203451.02,7953.00
S598958A,CB,2,USD,912831.98,8145.00
S598958A,CB,2,USD,980956.25,10393.00
S598958A,CB,2,USD,271969.62,11358.00
S598958A,CB,2,USD,81522.13,2440.00
S598958A,CB,2,USD,432222.64,1571.00
S598958A,CB,2,USD,49.80,20.00
S598958A,CB,2,USD,391999.60,3018.00
S598958A,CB,2,USD,138442.25,5385.00
S598958A,CB,2,USD,76980.07,3169.00
S598958A,CB,2,USD,349747.98,5954.00
S598958A,CB,2,USD,618578.10,2559.00
S598958A,CB,2,USD,246003.12,4812.00
S598958A,CB,2,USD,361828.85,7572.00
S598958A,CB,2,USD,141316.01,5149.00
S598958A,CB,2,USD,330038.16,4282.00
S598958A,CB,2,USD,216918.22,2689.00
S598958A,CB,2,USD,15346.11,3862.00
S598958A,CB,2,USD,51368.59,3009.00
S598958A,CB,2,USD,261627.19,24773.00
S598958A,CB,2,USD,351986.83,2883.00
S598958A,CB,2,USD,127172.08,7034.00
S598958A,CB,2,USD,93317.39,3894.00
S598958A,CB,2,USD,737412.90,2769.00
S598958A,CB,2,USD,58519.12,3550.00
S598958A,CB,2,USD,308184.15,6991.00
S598958A,CB,2,USD,208449.83,4255.00
S598958A,CB,2,USD,575109.42,4865.00
S598958A,CB,2,USD,147297.41,3667.00
S598958A,CB,2,USD,674599.17,2830.00
S598958A,CB,2,USD,35863.06,7567.00
S598958A,CB,2,USD,74288.58,9456.00
S598958A,CB,2,USD,567562.22,2107.00
S598958A,CB,2,USD,631039.62,7429.00
S598958A,CB,2,USD,60912.74,2715.00
S598958A,CB,2,USD,155092.83,3641.00
S598958A,CB,2,USD,320669.64,1296.00
S598958A,CB,2,USD,28243.50,7086.00
S598958A,CB,2,USD,146336.81,9806.00
S598958A,CB,2,USD,124273.06,3088.00
S598958A,CB,2,USD,38637.68,2589.00
S598958A,CB,2,USD,383724.46,21071.00
S598958A,CB,2,USD,188747.35,3743.00
S598958A,CB,2,USD,102448.51,4732.00
S598958A,CB,2,USD,271389.14,7705.00
S598958A,CB,2,USD,297174.29,23716.00
S598958A,CB,2,USD,147243.67,4082.00
S598958A,CB,2,USD,87304.31,2332.00
S598958A,CB,2,USD,346975.25,1355.00
S598958A,CB,2,USD,90470.06,2934.00
S598958A,CB,2,USD,294644.00,7813.00
S598958A,CB,2,USD,63100.97,18650.00
S598958A,CB,2,USD,166657.22,3518.00
S598958A,CB,2,USD,40360.49,3686.00
S598958A,CB,2,USD,234934.60,3068.00
S598958A,CB,2,USD,506454.80,2598.00
S598958A,CB,2,USD,281799.47,4336.00
S598958A,CB,2,USD,201159.90,3125.00
S598958A,CB,2,USD,52194.87,8671.00
S598958A,CB,2,USD,226554.27,6411.00
S598958A,CB,2,USD,462307.45,20828.00
S598958A,CB,2,USD,630871.09,3822.00
S598958A,CB,2,USD,320990.06,8438.00
S598958A,CB,2,USD,236831.84,2592.00
S598958A,CB,2,USD,268937.65,9100.00
S598958A,CB,2,USD,866256.11,2845.00
S598958A,CB,2,USD,324382.73,6043.00
S598958A,CB,2,USD,1019148.18,6822.00
S598958A,CB,2,USD,115307.79,4215.00
S598958A,CB,2,USD,268880.73,2793.00
S598958A,CB,2,USD,55745.78,8967.00
S598958A,CB,2,USD,125419.77,2727.00
S598958A,CB,2,USD,444619.81,8431.00
S598958A,CB,2,USD,408073.95,1264.00
S598958A,CB,2,USD,487664.31,4115.00
S598958A,CB,2,USD,145156.45,3578.00
S598958A,CB,2,USD,117427.28,4807.00
S598958A,CB,2,USD,133140.87,4657.00
S598958A,CB,2,USD,210271.63,1933.00
S598958A,CB,2,USD,257112.93,5680.00
S598958A,CB,2,USD,40544.69,5780.00
S598958A,CB,2,USD,1110953.46,9812.00
S598958A,CB,2,USD,177985.72,5692.00
S598958A,CB,2,USD,92350.53,1965.00
S598958A,CB,2,USD,433228.88,1163.00
S598958A,CB,2,USD,376947.01,9430.00
S598958A,CB,2,USD,346228.18,2249.00
S598958A,CB,2,USD,479312.88,7477.00
S598958A,CB,2,USD,118837.01,8193.00
S598958A,CB,2,USD,78616.33,895.00
S598958A,CB,2,USD,419324.14,12443.00
S598958A,CB,2,USD,383348.41,8259.00
S598958A,CB,2,USD,159799.85,8623.00
S598958A,CB,2,USD,46505.40,2017.00
S598958A,CB,2,USD,349033.92,7279.00
S598958A,CB,2,USD,209337.71,3724.00
S598958A,CB,2,USD,43162.36,1346.00
S598958A,CB,2,USD,203844.95,9660.00
S598958A,CB,2,USD,80484.42,85578.00
S598958A,CB,2,USD,102730.41,3660.00
S598958A,CB,2,USD,168008.26,4410.00
S598958A,CB,2,USD,134958.87,2983.00
S598958A,CB,2,USD,31503.38,1949.00
S598958A,CB,2,USD,111806.37,5105.00
S598958A,CB,2,USD,103662.85,3258.00
S598958A,CB,2,USD,362765.30,7354.00
S598958A,CB,2,USD,48422.40,4002.00
S598958A,CB,2,USD,243960.29,6326.00
S598958A,CB,2,USD,161085.59,4055.00
S598958A,CB,2,USD,113401.81,1434.00
S598958A,CB,2,USD,111132.73,1224.00
